"","x","y","z"
"1",19.7333984375,-14.8203125,1819.78100585937
"2",21.2557678222656,-16.9710845947266,1816.59643554687
"3",28.8236999511719,-14.3681335449219,1812.69360351562
"4",28.6882019042969,-9.97412109375,1814.49389648438
"5",26.9403991699219,-9.79780578613281,1813.16528320312
"6",28.1800079345703,-8.10780334472656,1812.39294433594
"7",32.3303833007812,-2.81230163574219,1814.08178710938
"8",29.3967742919922,-4.72767639160156,1814.80517578125
"9",30.6731109619141,-9.7489013671875,1811.76647949219
"10",31.0345001220703,-8.09455871582031,1813.37353515625
"11",30.8651428222656,-7.01766967773438,1812.28564453125
"12",31.6829376220703,-5.91650390625,1810.74353027344
"13",31.3238983154297,-5.5787353515625,1813.25537109375
"14",32.094482421875,-10.2391815185547,1815.43835449219
"15",29.6492614746094,-11.4303741455078,1815.9345703125
"16",31.7609252929687,-15.7988586425781,1813.51330566406
"17",31.6228942871094,-15.8383483886719,1812.28198242188
"18",31.9570007324219,-18.7642974853516,1807.56848144531
"19",29.5779418945312,-21.3092498779297,1808.76391601562
"20",26.5685272216797,-26.1518402099609,1811.62316894531
"21",22.5851898193359,-28.2757110595703,1808.96728515625
"22",30.5444641113281,-20.6837310791016,1805.07055664063
"23",28.7247314453125,-10.5827026367188,1810.17956542969
"24",33.8475494384765,16.1716003417969,1813.50329589844
"25",32.8715057373047,48.8757095336914,1821.25256347656
"26",41.748046875,75.7451477050781,1828.8046875
"27",33.9655914306641,92.0986862182617,1835.61352539062
"28",32.1581573486328,116.181457519531,1838.1806640625
"29",35.8382110595703,139.850952148438,1840.19323730469
"30",34.2751007080078,156.277282714844,1848.50341796875
"31",26.0718688964844,171.8359375,1862.25
"32",24.1931457519531,187.86572265625,1869.99328613281
"33",22.7503051757812,211.229873657227,1879.82263183594
"34",-4.95433044433594,138.815185546875,1894.49743652344
"35",34.1415252685547,279.8486328125,1912.18811035156
"36",29.0671081542969,300.321502685547,1927.56872558594
"37",-4.98646545410156,233.196563720703,1917.86596679688
"38",-28.7993011474609,241.286514282227,1948.16064453125
"39",-20.5731353759766,273.969451904297,1946.66613769531
"40",-24.2142181396484,285.33349609375,1962.29455566406
"41",-29.6332855224609,291.14306640625,1966.69030761719
"42",-31.8954925537109,296.572448730469,1972.5654296875
"43",-20.4483489990234,414.970397949219,2018.82397460937
"44",-29.9083099365234,421.617767333984,2024.93786621094
"45",-29.2893676757812,439.120056152344,2040.22607421875
"46",-50.0434188842774,431.937072753906,2049.09643554688
"47",-56.4951324462891,421.412902832031,2065.82836914062
"48",-49.7308883666992,455.963745117187,2077.95141601563
"49",-61.4053192138672,464.950012207031,2091.10864257812
"50",-68.484992980957,472.427307128906,2097.44116210938
"51",-68.1804122924804,484.262054443359,2071.44653320313
"59",-67.6250228881836,496.820983886719,2105.20678710937
"61",-66.2875671386719,484.905578613281,2098.70727539062
"62",-56.2343673706055,477.653198242187,2085.06518554688
"63",-51.3570861816406,472.156982421875,2088.337890625
"64",-52.5108413696289,451.702087402344,2076.12426757812
"65",-48.7296295166016,454.296844482422,2083.0986328125
"66",-40.7169189453125,437.481506347656,2078.4130859375
"67",-43.0860748291016,436.509918212891,2079.21459960938
"68",-41.0545349121094,429.386627197266,2069.78857421875
"69",-33.3999481201172,417.426147460937,2065.39428710938
"70",-37.487060546875,400.217224121094,2061.01293945312
"71",-37.0016784667969,393.940673828125,2052.1123046875
"72",-25.7819061279297,388.475555419922,2048.412109375
"73",-20.7708587646484,386.927917480469,2047.51782226562
"74",-24.6983947753906,366.89501953125,2040.06774902344
"75",-19.1516876220703,355.602722167969,2029.50927734375
"76",-12.6129150390625,353.198608398438,2026.74597167969
"77",-16.7723236083984,332.023498535156,2013.09680175781
"78",-6.74085998535156,313.540832519531,1996.36889648438
"79",-8.51206970214844,306.377899169922,1986.7646484375
"80",-11.8224334716797,291.189880371094,1977.74328613281
"81",1.87911987304688,292.056213378906,1976.08557128906
"82",2.53047180175781,283.894897460938,1966.56591796875
"83",10.9832458496094,272.98876953125,1956.92578125
"84",12.1866607666016,263.22265625,1952.85241699219
"85",13.1519622802734,253.154663085938,1948.49108886719
"86",22.8491363525391,245.726348876953,1947.14904785156
"87",26.8545074462891,236.68244934082,1940.85693359375
"88",24.4766693115234,225.859497070313,1934.689453125
"89",29.7071075439453,218.51008605957,1929.97802734375
"90",33.0982360839844,207.244064331055,1920.35180664062
"91",33.0054016113281,177.62971496582,1919.34411621094
"92",40.3250579833984,164.728469848633,1918.45922851562
"93",44.5513610839844,154.948348999023,1914.0576171875
"94",44.57763671875,141.272155761719,1903.90893554688
"95",40.0202331542969,127.533004760742,1897.06689453125
"96",43.1722869873047,114.597610473633,1895.94189453125
"97",43.4658050537109,103.352851867676,1891.53649902344
"98",46.9175109863281,96.75390625,1884.55725097656
"99",49.4956207275391,87.1750030517578,1885.26318359375
"100",40.7231750488281,70.5428237915039,1881.89624023437
"101",34.2208404541016,60.1139297485352,1876.97143554687
"102",42.3781433105469,58.1559371948242,1872.16088867187
"103",36.0278472900391,36.90380859375,1874.25708007812
"104",55.8676605224609,27.0265502929687,1869.83020019531
"105",45.16650390625,-3.59427642822266,1860.48303222656
"106",49.8837280273437,-3.87798309326172,1861.25903320312
"107",52.3917541503906,-4.62254333496094,1863.52331542969
"108",50.3508911132812,-9.23555755615235,1866.81115722656
"109",47.6239318847656,-12.8133316040039,1865.24658203125
"110",50.3985900878906,-16.1694793701172,1864.00549316406
"111",54.4037170410156,-17.3172912597656,1866.02233886719
"112",49.2191619873047,-21.9562377929687,1863.62158203125
