-187.89355468749997, -619.7337036132814, 2047.2974853515625
-158.23648071289062, -628.3296508789061, 2042.720947265625
-113.39920043945311, -590.1330566406251, 2080.8986816406245
-194.02001953125, -559.1040039062501, 2110.335937500001
-166.20826721191406, -641.66064453125, 2020.1751708984373
-167.1245269775391, -644.055419921875, 2014.2244873046875
-180.70320129394526, -604.8696289062499, 2047.1467285156248
-175.67065429687491, -610.3092041015624, 2046.12841796875
-194.47560119628903, -548.4004516601564, 2121.64306640625
-109.14369201660153, -588.0584716796877, 2069.8112792968755
-168.55828857421878, -645.869384765625, 2008.418212890625
-113.20978546142578, -595.2695312500001, 2080.14599609375
-192.8972930908203, -563.6735839843751, 2104.132080078125
-110.98817443847655, -602.6901245117188, 2073.235595703125
-142.73715209960938, -635.946044921875, 2031.4699707031252
-167.1685333251953, -642.4982299804686, 2038.869384765625
-182.60382080078125, -632.2427978515625, 2048.440185546875
-175.115234375, -637.8150634765625, 2046.0841064453123
-183.35111999511722, -636.5723266601564, 2046.1774902343745
-182.7198333740234, -636.8916015625, 2042.9635009765625
-193.66452026367185, -587.93994140625, 2081.3530273437505
-181.39109802246097, -631.1086425781252, 2043.127197265625
-175.7749786376953, -632.38623046875, 2044.3508300781248
-131.73297119140622, -638.7310791015625, 2024.2061767578125
-141.89843750000006, -632.1209716796877, 2034.9294433593748
-172.80847167968753, -621.8837890625001, 2036.032348632812
-177.68522644042977, -622.7955322265627, 2033.4078369140625
-105.25566864013672, -672.034912109375, 2006.9802246093748
-153.72865295410153, -623.1483764648439, 2043.3670654296877
-146.66558837890625, -653.8853759765627, 2004.5158691406255
-155.90855407714838, -670.2733154296877, 1998.3226318359373
-143.23908996582028, -679.4342041015624, 2002.4447021484375
-151.7173767089844, -673.4276123046874, 2003.585693359375
-192.81188964843753, -590.2635498046875, 2094.486572265625
-156.291748046875, -686.76123046875, 2002.6416015625
-160.53297424316403, -676.2810058593751, 2007.564453125
-89.97863769531251, -587.8065795898438, 2069.005859375
-55.184135437011726, -690.9696044921874, 1982.6431884765623
-149.79133605957034, -608.7044677734375, 2078.2421875
-150.75761413574216, -681.7825927734375, 2018.1380615234375
-104.79473876953125, -605.7200317382814, 2068.924072265625
-101.44271087646482, -605.0567016601564, 2074.277099609375
-155.57913208007812, -684.8947753906251, 2005.1339111328123
-108.4197235107422, -552.41015625, 2113.3129882812505
-197.85734558105474, -579.9594726562501, 2116.145751953125
-110.21369171142578, -626.0473022460939, 2069.539794921875
-169.4040985107422, -687.4066162109374, 1987.5255126953125
-103.41964721679688, -621.1104736328126, 2060.3217773437505
-115.9866409301758, -633.2127685546876, 2065.1667480468745
-119.62297058105466, -570.046875, 2102.1564941406245
-170.27307128906244, -694.4940795898439, 1989.5113525390623
-169.00086975097656, -685.7758789062502, 1984.322021484375
-172.1060333251953, -672.6721801757812, 2012.8026123046875
-117.96292114257811, -608.1425170898436, 2076.9143066406255
-97.28243255615232, -628.13623046875, 2046.0168457031252
-110.88623046875, -591.3052978515624, 2080.4677734375005
-178.67092895507815, -629.871337890625, 2028.6821289062498
-145.8951416015625, -607.0540771484375, 2072.015625
-105.68511962890626, -605.5712890625, 2086.21142578125
-172.18646240234378, -647.2450561523438, 2013.8560791015627
-170.16360473632807, -678.2102661132811, 1992.2943115234373
-108.42829132080078, -599.2744140625001, 2081.4943847656245
-178.1691131591797, -631.8532714843749, 2021.9495849609377
-170.09465026855466, -670.9763183593751, 1981.2928466796873
-107.01069641113283, -620.5237426757814, 2086.818603515625
-104.92311096191408, -625.5014648437499, 2078.2543945312505
-110.04228210449217, -630.551513671875, 2066.303710937501
-187.11775207519528, -647.2703857421877, 2024.2971191406252
-103.54261779785155, -589.821533203125, 2093.4428710937495
-174.15324401855472, -677.2145996093751, 2021.6636962890623
-181.13993835449222, -647.3147583007812, 2042.067626953125
-175.05874633789068, -671.3349609375, 2022.8684082031248
-187.8545074462891, -597.2492675781251, 2103.834228515625
-108.71190643310548, -616.6987304687502, 2096.1733398437505
-114.84481048583986, -620.9190673828124, 2082.359619140625
-178.06361389160153, -638.4100341796876, 2041.3680419921875
-111.57843780517577, -603.9625244140623, 2097.1647949218745
-111.45560455322266, -610.58349609375, 2090.6579589843755
-105.12464141845702, -612.5153808593751, 2090.718505859375
-105.82321929931642, -615.1348266601564, 2090.4128417968745
-105.70298767089844, -613.5191650390625, 2089.2165527343755
-109.51189422607422, -612.0546264648436, 2079.8183593750005
-184.60000610351562, -556.0060424804686, 2158.50634765625
-180.56417846679688, -576.1641845703126, 2121.52587890625
-178.83784484863284, -603.4575195312499, 2091.198974609375
-108.1064758300781, -609.0435180664062, 2095.11474609375
-117.49387359619139, -521.5858764648439, 2166.6352539062505
-106.74873352050781, -619.9865722656251, 2086.120605468749
-182.57269287109378, -580.9171142578125, 2115.82568359375
-116.91555786132812, -526.4108886718751, 2164.210693359375
-165.41532897949222, -593.7233886718752, 2099.2587890624995
-182.09391784667974, -555.2141113281251, 2153.085205078125
-120.95681762695311, -583.8461303710938, 2109.28955078125
-182.9561004638672, -588.1683959960939, 2118.3251953125005
-117.92185211181639, -525.4580688476562, 2161.8271484375005
-117.62412261962889, -530.9494018554686, 2169.424072265625
-182.73365783691403, -596.0195922851562, 2110.070312500001
-183.4165954589844, -590.4014892578126, 2118.18359375
-175.47590637207034, -596.5325927734374, 2102.820312500001
-185.18644714355474, -596.7714843750001, 2111.3159179687505
-162.95951843261722, -656.14306640625, 2051.43310546875
-177.4705963134766, -649.92333984375, 2042.4130859375
