"time","x","y","z"
51,-145.136276245117,114.762344360352,2365.33813476562
52,-143.803497314453,117.445495605469,2372.92553710938
53,-147.302841186523,117.236633300781,2386.91455078125
54,-156.884735107422,121.070983886719,2386.9931640625
55,-155.261367797852,95.6802978515625,2386.49462890625
56,-198.467056274414,101.115005493164,2384.80639648438
57,-199.787567138672,102.213607788086,2389.14697265625
58,-197.482284545898,119.248222351074,2380.5517578125
59,-305.952392578125,30.1787414550781,2224.81103515625
60,-303.155395507812,-41.4012298583984,2168.56713867188
61,-302.665222167969,-113.160919189453,2129.84838867188
62,-304.440093994141,-185.710876464844,2108.34375
63,-310.467041015625,-239.067199707031,2119.55810546875
64,-294.00927734375,172.709411621094,2385.91845703125
65,-300.273193359375,170.804809570312,2386.89379882813
66,-308.267517089844,169.450042724609,2386.3447265625
67,-312.569396972656,168.728088378906,2387.00756835938
68,-319.790222167969,174.787521362305,2389.16284179687
69,-324.786254882812,180.86994934082,2390.01098632812
70,-337.313446044922,176.998779296875,2392.80151367188
71,-345.954193115234,172.751037597656,2394.892578125
72,-542.300720214844,205.985626220703,2411.02221679688
73,-550.94140625,203.822509765625,2406.98950195312
74,-555.739868164062,202.437637329102,2405.3427734375
75,-565.471374511719,201.786163330078,2406.064453125
76,-575.846069335937,199.972686767578,2405.88818359375
77,-584.017761230469,206.780822753906,2405.333984375
78,-590.522705078125,214.940185546875,2408.37719726563
79,-602.706604003906,216.819122314453,2409.51635742188
80,-784.695556640625,234.479202270508,2412.6640625
81,-792.829040527344,236.119140625,2404.10717773438
82,-798.744506835937,238.380920410156,2400.54931640625
83,-806.242919921875,236.005142211914,2400.36840820312
84,-813.70068359375,229.29052734375,2402.328125
85,-825.4970703125,221.958847045898,2411.51928710938
86,-833.192443847656,218.51513671875,2416.341796875
87,-838.257751464844,217.357086181641,2420.42919921875
88,-730.1748046875,261.891723632812,2385.7294921875
89,-728.108520507813,262.465209960937,2385.3232421875
90,-723.463989257813,263.011413574219,2390.6630859375
91,-719.808776855469,262.097290039063,2391.01293945312
92,-717.794311523438,261.148162841797,2392.73974609375
93,-713.647521972656,252.959289550781,2393.58447265625
94,-708.049865722656,254.500183105469,2393.30004882812
95,-703.621215820312,256.476531982422,2393.9599609375
96,-538.162292480469,270.541198730469,2396.21997070312
97,-533.512634277344,269.511657714844,2397.71606445312
98,-524.564453125,270.068664550781,2398.267578125
99,-517.890258789062,271.773284912109,2399.06469726562
100,-513.077880859375,272.173492431641,2397.04541015625
101,-507.800109863281,268.655242919922,2400.92822265625
102,-498.206390380859,268.53662109375,2400.76293945312
103,-493.341064453125,268.632995605469,2400.93579101562
104,-343.867828369141,227.485473632812,2387.08349609375
105,-334.582885742187,225.461242675781,2384.35009765625
106,-327.025817871094,228.582733154297,2382.25439453125
107,-326.151885986328,227.855133056641,2385.06079101562
108,-326.471343994141,226.754119873047,2388.4765625
109,-318.822875976562,225.409591674805,2388.69848632812
110,-312.089538574219,224.857849121094,2380.26684570312
